titulo,autor,duracion,enlace
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,Duración: 8 h y 22 m,https://www.audible.com/es_US/pd/Rich-Dad-Poor-Dad-20th-Anniversary-Edition-Audiolibro/197869167X
Tower of Dawn,Sarah J. Maas,Duración: 22 h y 39 m,https://www.audible.com/es_US/pd/Tower-of-Dawn-Audiolibro/B0759X8K2X
The Stand,Stephen King,Duración: 47 h y 47 m,https://www.audible.com/es_US/pd/The-Stand-Audiolibro/B0077DEH7A
Memento Mori,Hunter Blain,Duración: 11 h y 19 m,https://www.audible.com/es_US/pd/Memento-Mori-Audiolibro/B0CZ7P25CQ
Checking the Right Box,Nicole Pyland,Duración: 11 h y 21 m,https://www.audible.com/es_US/pd/Checking-the-Right-Box-Audiolibro/B0CXJQ6Z61
Come As You Are: Revised and Updated,Emily Nagoski PhD,Duración: 11 h y 30 m,https://www.audible.com/es_US/pd/Come-As-You-Are-Revised-and-Updated-Audiolibro/1797119265
Solo Command: Star Wars Legends (X-Wing),Aaron Allston,Duración: 14 h,https://www.audible.com/es_US/pd/Solo-Command-Star-Wars-Legends-X-Wing-Audiolibro/B0CXJWVT5M
Practical Potions and Premeditated Murder,Wren Jones,Duración: 7 h y 57 m,https://www.audible.com/es_US/pd/Practical-Potions-and-Premeditated-Murder-Audiolibro/B0CZQGGZKY
The Nightingale,Kristin Hannah,Duración: 17 h y 19 m,https://www.audible.com/es_US/pd/The-Nightingale-Audiolibro/B00NYBQKFQ
Tempted by the Devil,Michelle Heard,Duración: 7 h y 16 m,https://www.audible.com/es_US/pd/Tempted-by-the-Devil-Audiolibro/B0CVR2SQR5
Romantic Comedy (Reese's Book Club),Curtis Sittenfeld,Duración: 9 h y 5 m,https://www.audible.com/es_US/pd/Romantic-Comedy-Reeses-Book-Club-Audiolibro/B0BH9B76X6
Iron Gold,Pierce Brown,Duración: 23 h y 23 m,https://www.audible.com/es_US/pd/Iron-Gold-Audiolibro/B074NBTRGL
The Final Empire,Brandon Sanderson,Duración: 24 h y 39 m,https://www.audible.com/es_US/pd/The-Final-Empire-Audiolibro/B002V0QCYU
Red Company: Invasion,B.V. Larson,Duración: 9 h y 20 m,https://www.audible.com/es_US/pd/Red-Company-Invasion-Audiolibro/B0CT13SQ42
The Dead Letter Delivery,C.J. Archer,Duración: 7 h y 53 m,https://www.audible.com/es_US/pd/The-Dead-Letter-Delivery-Audiolibro/B0CXRCFB9D
The Return of the King,J. R. R. Tolkien,Duración: 18 h y 19 m,https://www.audible.com/es_US/pd/The-Return-of-the-King-Audiolibro/B009ABIN72
Spare,Prince Harry The Duke of Sussex,Duración: 15 h y 39 m,https://www.audible.com/es_US/pd/Spare-Audiolibro/B0BJ4X9D2F
A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Duración: 8 h y 26 m,https://www.audible.com/es_US/pd/A-Court-of-Mist-and-Fury-Part-1-of-2-Dramatized-Adaptation-Audiolibro/B09YGG792Q
Hercule Poirot: The Complete Short Stories,Agatha Christie,Duración: 35 h y 5 m,https://www.audible.com/es_US/pd/Hercule-Poirot-The-Complete-Short-Stories-Audiolibro/0063066734
The Rise and Fall of the Third Reich,William L. Shirer,Duración: 57 h y 11 m,https://www.audible.com/es_US/pd/The-Rise-and-Fall-of-the-Third-Reich-Audiolibro/B003VWJAPA
We Were the Lucky Ones,Georgia Hunter,Duración: 15 h y 36 m,https://www.audible.com/es_US/pd/We-Were-the-Lucky-Ones-Audiolibro/B01NCRZVOJ
The Complete Age of Embers Series (Books 1-5),Ryan Schow,Duración: 49 h y 14 m,https://www.audible.com/es_US/pd/The-Complete-Age-of-Embers-Series-Books-1-5-Audiolibro/B0B6Q5979R
Freed,E. L. James,Duración: 27 h y 15 m,https://www.audible.com/es_US/pd/Freed-Audiolibro/0593453565
Romancing Mister Bridgerton,Julia Quinn,Duración: 13 h y 17 m,https://www.audible.com/es_US/pd/Romancing-Mister-Bridgerton-Audiolibro/B06Y2GNSLR
The Way of Kings,Brandon Sanderson,Duración: 45 h y 30 m,https://www.audible.com/es_US/pd/The-Way-of-Kings-Audiolibro/B003ZWFO7E
The Last Survivors Box Set,Bobby Adair,Duración: 50 h y 24 m,https://www.audible.com/es_US/pd/The-Last-Survivors-Box-Set-Audiolibro/B07PZXW9L2
Lord of Chaos,Robert Jordan,Duración: 41 h y 32 m,https://www.audible.com/es_US/pd/Lord-of-Chaos-Audiolibro/B002V5BDOE
"Prism Academy Omnibus, Books 1-5",David Burke,Duración: 74 h y 9 m,https://www.audible.com/es_US/pd/Prism-Academy-Omnibus-Books-1-5-Audiolibro/B0CY32BHJT
Sin & Chocolate (Dramatized Adaptation),K.F. Breene,Duración: 7 h y 27 m,https://www.audible.com/es_US/pd/Sin-Chocolate-Dramatized-Adaptation-Audiolibro/B0CZ7KXKKV
Star Wars: Mace Windu: The Glass Abyss,Steven Barnes,Duración: 13 h,https://www.audible.com/es_US/pd/Star-Wars-Mace-Windu-The-Glass-Abyss-Audiolibro/B0CP8N7B84
The Last Olympian,Rick Riordan,Duración: 11 h,https://www.audible.com/es_US/pd/The-Last-Olympian-Audiolibro/B002V0Q4PC
Swing State,Rebecca Gilman,Duración: 1 h y 25 m,https://www.audible.com/es_US/pd/Swing-State-Audiolibro/B0CYMD946S
Unfu*k Yourself,Gary John Bishop,Duración: 3 h y 24 m,https://www.audible.com/es_US/pd/Unfu-k-Yourself-Audiolibro/B0731R4RFX
Volcano Violence,Jasmine Webb,Duración: 6 h y 28 m,https://www.audible.com/es_US/pd/Volcano-Violence-Audiolibro/B0CZ4N64HG
Too Late,Colleen Hoover,Duración: 10 h y 19 m,https://www.audible.com/es_US/pd/Too-Late-Audiolibro/B0C8ZSQ21Q
The Hobbit,J. R. R. Tolkien,Duración: 10 h y 25 m,https://www.audible.com/es_US/pd/The-Hobbit-Audiolibro/1705009050
Catching Fire,Suzanne Collins,Duración: 11 h y 3 m,https://www.audible.com/es_US/pd/Catching-Fire-Audiolibro/1338589016
Outlive,Peter Attia MD,Duración: 17 h y 7 m,https://www.audible.com/es_US/pd/Outlive-Audiolibro/B0B6444XS3
"Days of Want Series, Books 1-7",T. L. Payne,Duración: 43 h y 42 m,https://www.audible.com/es_US/pd/Days-of-Want-Series-Books-1-7-Audiolibro/B0CS6YTGVY
The Gathering,C. J. Tudor,Duración: 10 h y 22 m,https://www.audible.com/es_US/pd/The-Gathering-Audiolibro/B0CDDWK4DX
The Phoenix Initiative: First Missions,Chris Kennedy,Duración: 15 h y 58 m,https://www.audible.com/es_US/pd/The-Phoenix-Initiative-First-Missions-Audiolibro/B0CZMYT243
A Court of Thorns and Roses,Sarah J. Maas,Duración: 16 h y 7 m,https://www.audible.com/es_US/pd/A-Court-of-Thorns-and-Roses-Audiolibro/B00WRHY15Y
Elon Musk,Walter Isaacson,Duración: 20 h y 39 m,https://www.audible.com/es_US/pd/Elon-Musk-Audiolibro/B0BX4SCV1V
Fusion Strategy,Vijay Govindarajan,Duración: 6 h y 34 m,https://www.audible.com/es_US/pd/Fusion-Strategy-Audiolibro/B0CYQZDRMF
Shadow of Hope,Susan Sleeman,Duración: 9 h y 36 m,https://www.audible.com/es_US/pd/Shadow-of-Hope-Audiolibro/B0CZS8K597
Get Better at Anything,Scott H. Young,Duración: 7 h y 42 m,https://www.audible.com/es_US/pd/Get-Better-at-Anything-Audiolibro/B0CF7D2H71
Get It Together,Jesse Watters,Duración: 11 h y 32 m,https://www.audible.com/es_US/pd/Get-It-Together-Audiolibro/B0BT16YY2H
The Keeper Chronicles: The Complete Trilogy,JA Andrews,Duración: 46 h y 32 m,https://www.audible.com/es_US/pd/The-Keeper-Chronicles-The-Complete-Trilogy-Audiolibro/1774244926
"The Tibetan Book of Living and Dying, Revised and Updated Edition",Sogyal Rinpoche,Duración: 20 h y 43 m,https://www.audible.com/es_US/pd/The-Tibetan-Book-of-Living-and-Dying-Revised-and-Updated-Edition-Audiolibro/B0CZFF2ZZS
How to End a Love Story,Yulin Kuang,Duración: 11 h y 6 m,https://www.audible.com/es_US/pd/How-to-End-a-Love-Story-Audiolibro/B0BQ1P6PG4
Inheritance,Christopher Paolini,Duración: 31 h y 17 m,https://www.audible.com/es_US/pd/Inheritance-Audiolibro/B005ZWA2P6
The History of the Ancient World,Susan Wise Bauer,Duración: 26 h y 20 m,https://www.audible.com/es_US/pd/The-History-of-the-Ancient-World-Audiolibro/B00CYNMAIG
The Ritual Effect,Dr. Michael Norton,Duración: 5 h y 33 m,https://www.audible.com/es_US/pd/The-Ritual-Effect-Audiolibro/B0CGBNHBFT
Cómo Dejar de Pensar Demasiado [How to Stop Thinking Too Much],Richard Pezer,Duración: 1 h y 38 m,https://www.audible.com/es_US/pd/Como-Dejar-de-Pensar-Demasiado-How-to-Stop-Thinking-Too-Much-Audiolibro/B0CZMVY562
The Creative Act,Rick Rubin,Duración: 5 h y 45 m,https://www.audible.com/es_US/pd/The-Creative-Act-Audiolibro/B0B3L2T9W5
Redeeming Love,Francine Rivers,Duración: 17 h y 17 m,https://www.audible.com/es_US/pd/Redeeming-Love-Audiolibro/B002V8MG06
Becoming Supernatural,Joe Dispenza,Duración: 14 h y 6 m,https://www.audible.com/es_US/pd/Becoming-Supernatural-Audiolibro/198271297X
The Fellowship of Puzzlemakers,Samuel Burr,Duración: 11 h y 52 m,https://www.audible.com/es_US/pd/The-Fellowship-of-Puzzlemakers-Audiolibro/B0CDD7RRGW
Cozy Witch Mysteries: Special Edition Box Set of 8 Books,Angela Pepper,Duración: 77 h y 20 m,https://www.audible.com/es_US/pd/Cozy-Witch-Mysteries-Special-Edition-Box-Set-of-8-Books-Audiolibro/B0BY3J2WL4
The Fires of Heaven,Robert Jordan,Duración: 36 h y 27 m,https://www.audible.com/es_US/pd/The-Fires-of-Heaven-Audiolibro/B002V0JU3U
Never Split the Difference,Chris Voss,Duración: 8 h y 7 m,https://www.audible.com/es_US/pd/Never-Split-the-Difference-Audiolibro/B01CF5O89G
How to Win Friends & Influence People,Dale Carnegie,Duración: 7 h y 15 m,https://www.audible.com/es_US/pd/How-to-Win-Friends-Influence-People-Audiolibro/B002V5BV96
Dune,Frank Herbert,Duración: 21 h y 2 m,https://www.audible.com/es_US/pd/Dune-Audiolibro/B002V1OF70
Can't Hurt Me,David Goggins,Duración: 13 h y 37 m,https://www.audible.com/es_US/pd/Cant-Hurt-Me-Audiolibro/B07KKMNZCH
The Titan's Curse,Rick Riordan,Duración: 8 h y 48 m,https://www.audible.com/es_US/pd/The-Titans-Curse-Audiolibro/B002UZZDI2
The Revenge Agenda,Saxon James,Duración: 6 h y 41 m,https://www.audible.com/es_US/pd/The-Revenge-Agenda-Audiolibro/B0CY6STMMT
Million-Dollar Habits,Rachel Rodgers,Duración: 2 h y 3 m,https://www.audible.com/es_US/pd/Million-Dollar-Habits-Audiolibro/B0CWVVRBC8
Unravel Me,Becka Mack,Duración: 16 h y 58 m,https://www.audible.com/es_US/pd/Unravel-Me-Audiolibro/B0CQMLY2N7
Remarkably Bright Creatures,Shelby Van Pelt,Duración: 11 h y 16 m,https://www.audible.com/es_US/pd/Remarkably-Bright-Creatures-Audiolibro/B09DTFJ94X
Project Hail Mary,Andy Weir,Duración: 16 h y 10 m,https://www.audible.com/es_US/pd/Project-Hail-Mary-Audiolibro/B08G9PRS1K
Fractured Souls,Neva Altaj,Duración: 7 h y 1 m,https://www.audible.com/es_US/pd/Fractured-Souls-Audiolibro/B0CWMYT7R2
Magical Midlife Awakening,K.F. Breene,Duración: 10 h y 7 m,https://www.audible.com/es_US/pd/Magical-Midlife-Awakening-Audiolibro/B0CVNHBLS7
The Battle of the Labyrinth,Rick Riordan,Duración: 10 h y 31 m,https://www.audible.com/es_US/pd/The-Battle-of-the-Labyrinth-Audiolibro/B002V8L8KU
Hell Divers III: Deliverance,Nicholas Sansbury Smith,Duración: 11 h y 18 m,https://www.audible.com/es_US/pd/Hell-Divers-III-Deliverance-Audiolibro/B079NS2WGZ
The Dragon's Blade Trilogy,Michael R. Miller,Duración: 45 h y 58 m,https://www.audible.com/es_US/pd/The-Dragons-Blade-Trilogy-Audiolibro/B07VVT4LGH
Reaping Fate,Actus,Duración: 15 h y 58 m,https://www.audible.com/es_US/pd/Reaping-Fate-Audiolibro/B0CZ1DGS1T
Canines and Cocktails,Kevin Hearne,Duración: 7 h y 55 m,https://www.audible.com/es_US/pd/Canines-and-Cocktails-Audiolibro/B0CZ1S57KR
Trust Me,Tiffany Patterson,Duración: 12 h y 29 m,https://www.audible.com/es_US/pd/Trust-Me-Audiolibro/B0CXVP9SWK
It's Not Hysteria,Dr. Karen Tang,Duración: 9 h y 40 m,https://www.audible.com/es_US/pd/Its-Not-Hysteria-Audiolibro/B0CHSM2HNL
Dragonfruit,Makiia Lucier,Duración: 8 h y 12 m,https://www.audible.com/es_US/pd/Dragonfruit-Audiolibro/B0CBNK9HQ6
Masters of the Air,Donald L. Miller,Duración: 24 h y 19 m,https://www.audible.com/es_US/pd/Masters-of-the-Air-Audiolibro/B0CKM53R46
Modern Patriarch,Daoist Enigma,Duración: 13 h y 54 m,https://www.audible.com/es_US/pd/Modern-Patriarch-Audiolibro/B0CX9M76P4
The Body Keeps the Score,Bessel A. van der Kolk,Duración: 16 h y 15 m,https://www.audible.com/es_US/pd/The-Body-Keeps-the-Score-Audiolibro/0593412702
What's Your Dream?,Simon Squibb,Duración: Aún no se conoce,https://www.audible.com/es_US/pd/Whats-Your-Dream-Audiolibro/B0CZ9ZHPN6
The Woman in Me,Britney Spears,Duración: 5 h y 31 m,https://www.audible.com/es_US/pd/The-Woman-in-Me-Audiolibro/B0BRBR3VHC
Dead Meat,Nick Clausen,Duración: 38 h y 9 m,https://www.audible.com/es_US/pd/Dead-Meat-Audiolibro/B0BT667JLD
A People's History of the United States,Howard Zinn,Duración: 34 h y 8 m,https://www.audible.com/es_US/pd/A-Peoples-History-of-the-United-States-Audiolibro/B0030H777E
Leveling Up The World,L. Eclaire,Duración: 80 h y 15 m,https://www.audible.com/es_US/pd/Leveling-Up-The-World-Audiolibro/B0CW222J3N
The Power of Going All-In,Brandon Bornancin,Duración: 5 h y 37 m,https://www.audible.com/es_US/pd/The-Power-of-Going-All-In-Audiolibro/B0CXR7SGSH
It Was Always You,Sarah Stephens,Duración: 8 h y 5 m,https://www.audible.com/es_US/pd/It-Was-Always-You-Audiolibro/1004015798
The Mountain Is You,Brianna Wiest,Duración: 5 h y 44 m,https://www.audible.com/es_US/pd/The-Mountain-Is-You-Audiolibro/B09WY6Z8KD
The Dark Tower I,Stephen King,Duración: 7 h y 20 m,https://www.audible.com/es_US/pd/The-Dark-Tower-I-Audiolibro/B019NNU7XE
The Anxious Generation,Jonathan Haidt,Duración: 10 h y 32 m,https://www.audible.com/es_US/pd/The-Anxious-Generation-Audiolibro/B0C9N1WLYL
MeatEater's American History: The Long Hunters (1761-1775),Steven Rinella,Duración: 6 h y 2 m,https://www.audible.com/es_US/pd/MeatEaters-American-History-The-Long-Hunters-1761-1775-Audiolibro/B0CN9MFYSS
No Longer Human,Osamu Dazai,Duración: 4 h y 13 m,https://www.audible.com/es_US/pd/No-Longer-Human-Audiolibro/B0CZ53B28J
Greenlights,Matthew McConaughey,Duración: 6 h y 42 m,https://www.audible.com/es_US/pd/Greenlights-Audiolibro/0593294181
The Keeper Chronicles: The Complete Trilogy,JA Andrews,Duración: 46 h y 32 m,https://www.audible.com/es_US/pd/The-Keeper-Chronicles-The-Complete-Trilogy-Audiolibro/1774244926
"The Tibetan Book of Living and Dying, Revised and Updated Edition",Sogyal Rinpoche,Duración: 20 h y 43 m,https://www.audible.com/es_US/pd/The-Tibetan-Book-of-Living-and-Dying-Revised-and-Updated-Edition-Audiolibro/B0CZFF2ZZS
How to End a Love Story,Yulin Kuang,Duración: 11 h y 6 m,https://www.audible.com/es_US/pd/How-to-End-a-Love-Story-Audiolibro/B0BQ1P6PG4
Inheritance,Christopher Paolini,Duración: 31 h y 17 m,https://www.audible.com/es_US/pd/Inheritance-Audiolibro/B005ZWA2P6
The History of the Ancient World,Susan Wise Bauer,Duración: 26 h y 20 m,https://www.audible.com/es_US/pd/The-History-of-the-Ancient-World-Audiolibro/B00CYNMAIG
The Ritual Effect,Dr. Michael Norton,Duración: 5 h y 33 m,https://www.audible.com/es_US/pd/The-Ritual-Effect-Audiolibro/B0CGBNHBFT
Cómo Dejar de Pensar Demasiado [How to Stop Thinking Too Much],Richard Pezer,Duración: 1 h y 38 m,https://www.audible.com/es_US/pd/Como-Dejar-de-Pensar-Demasiado-How-to-Stop-Thinking-Too-Much-Audiolibro/B0CZMVY562
The Creative Act,Rick Rubin,Duración: 5 h y 45 m,https://www.audible.com/es_US/pd/The-Creative-Act-Audiolibro/B0B3L2T9W5
Redeeming Love,Francine Rivers,Duración: 17 h y 17 m,https://www.audible.com/es_US/pd/Redeeming-Love-Audiolibro/B002V8MG06
Becoming Supernatural,Joe Dispenza,Duración: 14 h y 6 m,https://www.audible.com/es_US/pd/Becoming-Supernatural-Audiolibro/198271297X
The Fellowship of Puzzlemakers,Samuel Burr,Duración: 11 h y 52 m,https://www.audible.com/es_US/pd/The-Fellowship-of-Puzzlemakers-Audiolibro/B0CDD7RRGW
Leveling Up The World,L. Eclaire,Duración: 80 h y 15 m,https://www.audible.com/es_US/pd/Leveling-Up-The-World-Audiolibro/B0CW222J3N
The Power of Going All-In,Brandon Bornancin,Duración: 5 h y 37 m,https://www.audible.com/es_US/pd/The-Power-of-Going-All-In-Audiolibro/B0CXR7SGSH
It Was Always You,Sarah Stephens,Duración: 8 h y 5 m,https://www.audible.com/es_US/pd/It-Was-Always-You-Audiolibro/1004015798
The Mountain Is You,Brianna Wiest,Duración: 5 h y 44 m,https://www.audible.com/es_US/pd/The-Mountain-Is-You-Audiolibro/B09WY6Z8KD
The Dark Tower I,Stephen King,Duración: 7 h y 20 m,https://www.audible.com/es_US/pd/The-Dark-Tower-I-Audiolibro/B019NNU7XE
The Anxious Generation,Jonathan Haidt,Duración: 10 h y 32 m,https://www.audible.com/es_US/pd/The-Anxious-Generation-Audiolibro/B0C9N1WLYL
MeatEater's American History: The Long Hunters (1761-1775),Steven Rinella,Duración: 6 h y 2 m,https://www.audible.com/es_US/pd/MeatEaters-American-History-The-Long-Hunters-1761-1775-Audiolibro/B0CN9MFYSS
No Longer Human,Osamu Dazai,Duración: 4 h y 13 m,https://www.audible.com/es_US/pd/No-Longer-Human-Audiolibro/B0CZ53B28J
Greenlights,Matthew McConaughey,Duración: 6 h y 42 m,https://www.audible.com/es_US/pd/Greenlights-Audiolibro/0593294181
The Keeper Chronicles: The Complete Trilogy,JA Andrews,Duración: 46 h y 32 m,https://www.audible.com/es_US/pd/The-Keeper-Chronicles-The-Complete-Trilogy-Audiolibro/1774244926
"The Tibetan Book of Living and Dying, Revised and Updated Edition",Sogyal Rinpoche,Duración: 20 h y 43 m,https://www.audible.com/es_US/pd/The-Tibetan-Book-of-Living-and-Dying-Revised-and-Updated-Edition-Audiolibro/B0CZFF2ZZS
How to End a Love Story,Yulin Kuang,Duración: 11 h y 6 m,https://www.audible.com/es_US/pd/How-to-End-a-Love-Story-Audiolibro/B0BQ1P6PG4
Inheritance,Christopher Paolini,Duración: 31 h y 17 m,https://www.audible.com/es_US/pd/Inheritance-Audiolibro/B005ZWA2P6
The History of the Ancient World,Susan Wise Bauer,Duración: 26 h y 20 m,https://www.audible.com/es_US/pd/The-History-of-the-Ancient-World-Audiolibro/B00CYNMAIG
The Ritual Effect,Dr. Michael Norton,Duración: 5 h y 33 m,https://www.audible.com/es_US/pd/The-Ritual-Effect-Audiolibro/B0CGBNHBFT
Cómo Dejar de Pensar Demasiado [How to Stop Thinking Too Much],Richard Pezer,Duración: 1 h y 38 m,https://www.audible.com/es_US/pd/Como-Dejar-de-Pensar-Demasiado-How-to-Stop-Thinking-Too-Much-Audiolibro/B0CZMVY562
The Creative Act,Rick Rubin,Duración: 5 h y 45 m,https://www.audible.com/es_US/pd/The-Creative-Act-Audiolibro/B0B3L2T9W5
Redeeming Love,Francine Rivers,Duración: 17 h y 17 m,https://www.audible.com/es_US/pd/Redeeming-Love-Audiolibro/B002V8MG06
Becoming Supernatural,Joe Dispenza,Duración: 14 h y 6 m,https://www.audible.com/es_US/pd/Becoming-Supernatural-Audiolibro/198271297X
The Fellowship of Puzzlemakers,Samuel Burr,Duración: 11 h y 52 m,https://www.audible.com/es_US/pd/The-Fellowship-of-Puzzlemakers-Audiolibro/B0CDD7RRGW
